OBJECTID;BEZIRK_NR;ID_STAMMDATEN;ID_SCHICHTDATEN;TK25;DGK5;ARCHIVKURZBEZEICHNUNG;E_DGK5;E_ARCHIVKURZBEZEICHNUNG;VERTRAULICHKEIT;AUFSCHLUSSBEZEICHNUNG;BOHRDATUM;X_ETRS89;Y_ETRS89;RECHTSWERT_GK;HOCHWERT_GK;ANSATZHOEHE_NN;GW_FLURABSTAND;ENDTEUFE;OBERE_TIEFE;UNTERE_TIEFE;STRATIGRAPHIE;HAUPTGEMENGTEIL;NEBENGEMENGTEIL;FARBE;GENESE;ZUSATZ;HYDROSTRATIGRAPHIE;SE_ANNO_CAD_DATA
506573;1;64690;506573;2426;6634;B1035;6632;F26;öffentlich;B.2;14.04.1980;567370;5.933678e+06;3.567467e+06;5.935613e+06;3.43;2.2;14.5;9.5;11.8;qh;mS;fs,kf;gr;;;
506574;1;64690;506574;2426;6634;B1035;6632;F26;öffentlich;B.2;14.04.1980;567370;5.933678e+06;3.567467e+06;5.935613e+06;3.43;2.2;14.5;11.8;14.5;qw;mS;fs,gs2,fg,k;gr;;;
506991;1;64733;506991;2426;6634;B1074;6632;F58;öffentlich;B.XIX-82;23.04.1982;567282;5.933347e+06;3.5673795e+06;5.935282e+06;4.05;2.3;15;0;1.4;;S;g,fX,k;bn;y;Auf;L0
506992;1;64733;506992;2426;6634;B1074;6632;F58;öffentlich;B.XIX-82;23.04.1982;567282;5.933347e+06;3.5673795e+06;5.935282e+06;4.05;2.3;15;1.4;2.9;;S;fg-mg,k;ge-bn;y;Auf;L0
506993;1;64733;506993;2426;6634;B1074;6632;F58;öffentlich;B.XIX-82;23.04.1982;567282;5.933347e+06;3.5673795e+06;5.935282e+06;4.05;2.3;15;2.9;3.7;;U;t,s,M,k;bn;y;ld3,Auf;H0
506996;1;64733;506996;2426;6634;B1074;6632;F58;öffentlich;B.XIX-82;23.04.1982;567282;5.933347e+06;3.5673795e+06;5.935282e+06;4.05;2.3;15;5.6;6.3;qh;U;t,kf;gr;Uk(pm);ld2,OT;
506998;1;64733;506998;2426;6634;B1074;6632;F58;öffentlich;B.XIX-82;23.04.1982;567282;5.933347e+06;3.5673795e+06;5.935282e+06;4.05;2.3;15;7.2;7.9;qh;H;pf,u,kf;bn;;kos2,HZ;
506999;1;64733;506999;2426;6634;B1074;6632;F58;öffentlich;B.XIX-82;23.04.1982;567282;5.933347e+06;3.5673795e+06;5.935282e+06;4.05;2.3;15;7.9;9.1;qh;U;t,pf,kf;gr-bn;Uk(pm);ld2,OT;
507000;1;64733;507000;2426;6634;B1074;6632;F58;öffentlich;B.XIX-82;23.04.1982;567282;5.933347e+06;3.5673795e+06;5.935282e+06;4.05;2.3;15;9.1;9.5;qh;U;t,kf;gr;Uk(pm);ld2,OT;
507002;1;64733;507002;2426;6634;B1074;6632;F58;öffentlich;B.XIX-82;23.04.1982;567282;5.933347e+06;3.5673795e+06;5.935282e+06;4.05;2.3;15;11.2;15;qh;mS;fs,kf;gr;;SaE;
498070;1;63745;498070;2426;6634;A185;6632;E422;öffentlich;B.77;;566819;5.933629e+06;3.566916e+06;5.935564e+06;3.86;;10.3;8.8;9.4;;T;;;;;
498071;1;63745;498071;2426;6634;A185;6632;E422;öffentlich;B.77;;566819;5.933629e+06;3.566916e+06;5.935564e+06;3.86;;10.3;9.4;10.3;;S;t,lgd(S);;;P:S;
498073;1;63746;498073;2426;6634;A186;6632;E423;öffentlich;B.78;;566839;5.933638e+06;3.566936e+06;5.935573e+06;3.06;;8.6;2.6;3.75;;Schlamm;t;;;;
498074;1;63746;498074;2426;6634;A186;6632;E423;öffentlich;B.78;;566839;5.933638e+06;3.566936e+06;5.935573e+06;3.06;;8.6;3.75;4.85;;T;s;gr;;;
498076;1;63746;498076;2426;6634;A186;6632;E423;öffentlich;B.78;;566839;5.933638e+06;3.566936e+06;5.935573e+06;3.06;;8.6;5.45;5.7;;T;ht;;;;
495383;1;63382;495383;2426;6634;A1114;6632;E87;öffentlich;B.2;09.12.1970;566875;5.93365e+06;3.5669722e+06;5.935585e+06;3.5;4.2;20;3.2;5.7;;zy;s,u,ht,k;gr;y,Ablagerung(industrielle);;L0
495386;1;63382;495386;2426;6634;A1114;6632;E87;öffentlich;B.2;09.12.1970;566875;5.93365e+06;3.5669722e+06;5.935585e+06;3.5;4.2;20;8.7;11.8;qh?;fS;u,kf;dgr;;;
495387;1;63382;495387;2426;6634;A1114;6632;E87;öffentlich;B.2;09.12.1970;566875;5.93365e+06;3.5669722e+06;5.935585e+06;3.5;4.2;20;11.8;12.5;qh-qp;fS;u,ms2,kf;gr;;;
495388;1;63382;495388;2426;6634;A1114;6632;E87;öffentlich;B.2;09.12.1970;566875;5.93365e+06;3.5669722e+06;5.935585e+06;3.5;4.2;20;12.5;14.1;qh-qp;mS;fs2,kf;gr;;;
495389;1;63382;495389;2426;6634;A1114;6632;E87;öffentlich;B.2;09.12.1970;566875;5.93365e+06;3.5669722e+06;5.935585e+06;3.5;4.2;20;14.1;18.2;qh-qp;fS;k;hgr;;;
495392;1;63383;495392;2426;6634;A1115;6632;E88;öffentlich;B.3;14.12.1970;566889;5.933641e+06;3.5669862e+06;5.9355765e+06;3.3;4.2;20;0;2.6;;zy;s,h,trm,k2;;y;gw(4.20);L0
495393;1;63383;495393;2426;6634;A1115;6632;E88;öffentlich;B.3;14.12.1970;566889;5.933641e+06;3.5669862e+06;5.9355765e+06;3.3;4.2;20;2.6;4.4;;zy;s,u,trm,k;;y;;L0
495395;1;63383;495395;2426;6634;A1115;6632;E88;öffentlich;B.3;14.12.1970;566889;5.933641e+06;3.5669862e+06;5.9355765e+06;3.3;4.2;20;5.1;6.3;;U;t,h,kf;blsw;y,Uk;;H0
